year,outcome,Female,Male,suicides total
1999,Attempted,890,4292,5182
1999,Fatal,728,3967,4695
2000,Attempted,1101,4520,5621
2000,Fatal,857,4090,4947
2001,Attempted,1035,4677,5712
2001,Fatal,787,4184,4971
2002,Attempted,1152,4776,5928
2002,Fatal,885,4215,5100
2003,Attempted,1039,4428,5467
2003,Fatal,744,3890,4634
2004,Attempted,1094,4799,5893
2004,Fatal,789,4104,4893
2005,Attempted,1029,4596,5625
2005,Fatal,736,3885,4621
2006,Attempted,978,4174,5152
2006,Fatal,646,3444,4090
2007,Attempted,928,3730,4658
2007,Fatal,606,2924,3530
2008,Attempted,1030,4207,5237
2008,Fatal,631,3333,3964
2009,Attempted,1074,4839,5913
2009,Fatal,645,3739,4384
2010,Attempted,976,4480,5456
2010,Fatal,570,3517,4087
2011,Attempted,929,4195,5124
2011,Fatal,545,3294,3839
2012,Attempted,1088,4703,5791
2012,Fatal,608,3569,4177
2013,Attempted,1577,6997,8574
2013,Fatal,904,5196,6100
2014,Attempted,2057,8150,10207
2014,Fatal,928,5237,6165
2015,Attempted,2001,7972,9973
2015,Fatal,799,4889,5688
2016,Attempted,2112,7749,9861
2016,Fatal,767,4638,5405
2017,Attempted,2623,8515,11138
2017,Fatal,751,4524,5275
2018,Attempted,2803,8364,11167
2018,Fatal,711,4471,5182
2019,Attempted,3177,8782,11959
2019,Fatal,756,4497,5253
2020,Attempted,3216,8796,12012
2020,Fatal,778,4386,5164
2021,Attempted,4292,9505,13797
2021,Fatal,787,4413,5200
