year,outcome,sex,suicides,percentage
1999,Attempted,Male,4292,0.828251640293323
1999,Fatal,Male,3967,0.8449414270500533
2000,Attempted,Male,4520,0.8041273794698452
2000,Fatal,Male,4090,0.8267636951687891
2001,Attempted,Male,4677,0.8188025210084033
2001,Fatal,Male,4184,0.8416817541742104
2002,Attempted,Male,4776,0.805668016194332
2002,Fatal,Male,4215,0.8264705882352941
2003,Attempted,Male,4428,0.8099506127675141
2003,Fatal,Male,3890,0.8394475615019422
2004,Attempted,Male,4799,0.8143560156117428
2004,Fatal,Male,4104,0.838749233599019
2005,Attempted,Male,4596,0.8170666666666667
2005,Fatal,Male,3885,0.8407271153429994
2006,Attempted,Male,4174,0.8101708074534162
2006,Fatal,Male,3444,0.8420537897310514
2007,Attempted,Male,3730,0.8007728638900816
2007,Fatal,Male,2924,0.828328611898017
2008,Attempted,Male,4207,0.8033225128890586
2008,Fatal,Male,3333,0.8408173562058526
2009,Attempted,Male,4839,0.8183663115169965
2009,Fatal,Male,3739,0.8528740875912408
2010,Attempted,Male,4480,0.8211143695014663
2010,Fatal,Male,3517,0.8605333985808662
2011,Attempted,Male,4195,0.8186963309914129
2011,Fatal,Male,3294,0.8580359468611618
2012,Attempted,Male,4703,0.8121222586772578
2012,Fatal,Male,3569,0.8544409863538425
2013,Attempted,Male,6997,0.8160718451131327
2013,Fatal,Male,5196,0.8518032786885246
2014,Attempted,Male,8150,0.798471637111786
2014,Fatal,Male,5237,0.8494728304947283
2015,Attempted,Male,7972,0.7993582673217687
2015,Fatal,Male,4889,0.8595288326300985
2016,Attempted,Male,7749,0.7858229388500152
2016,Fatal,Male,4638,0.8580943570767807
2017,Attempted,Male,8515,0.7644999102172741
2017,Fatal,Male,4524,0.8576303317535545
2018,Attempted,Male,8364,0.7489925673860481
2018,Fatal,Male,4471,0.8627942879197221
2019,Attempted,Male,8782,0.7343423363157454
2019,Fatal,Male,4497,0.856082238720731
2020,Attempted,Male,8796,0.7322677322677322
2020,Fatal,Male,4386,0.8493415956622773
2021,Attempted,Male,9505,0.6889178806987026
2021,Fatal,Male,4413,0.8486538461538462
1999,Attempted,Female,890,0.17174835970667696
1999,Fatal,Female,728,0.15505857294994674
2000,Attempted,Female,1101,0.19587262053015478
2000,Fatal,Female,857,0.17323630483121083
2001,Attempted,Female,1035,0.18119747899159663
2001,Fatal,Female,787,0.15831824582578957
2002,Attempted,Female,1152,0.19433198380566802
2002,Fatal,Female,885,0.17352941176470588
2003,Attempted,Female,1039,0.19004938723248582
2003,Fatal,Female,744,0.16055243849805784
2004,Attempted,Female,1094,0.18564398438825724
2004,Fatal,Female,789,0.161250766400981
2005,Attempted,Female,1029,0.18293333333333334
2005,Fatal,Female,736,0.15927288465700065
2006,Attempted,Female,978,0.18982919254658384
2006,Fatal,Female,646,0.15794621026894864
2007,Attempted,Female,928,0.1992271361099184
2007,Fatal,Female,606,0.171671388101983
2008,Attempted,Female,1030,0.19667748711094138
2008,Fatal,Female,631,0.15918264379414732
2009,Attempted,Female,1074,0.18163368848300354
2009,Fatal,Female,645,0.14712591240875914
2010,Attempted,Female,976,0.17888563049853373
2010,Fatal,Female,570,0.13946660141913383
2011,Attempted,Female,929,0.18130366900858705
2011,Fatal,Female,545,0.14196405313883823
2012,Attempted,Female,1088,0.18787774132274218
2012,Fatal,Female,608,0.14555901364615753
2013,Attempted,Female,1577,0.18392815488686728
2013,Fatal,Female,904,0.1481967213114754
2014,Attempted,Female,2057,0.20152836288821396
2014,Fatal,Female,928,0.1505271695052717
2015,Attempted,Female,2001,0.2006417326782312
2015,Fatal,Female,799,0.14047116736990153
2016,Attempted,Female,2112,0.21417706114998478
2016,Fatal,Female,767,0.14190564292321925
2017,Attempted,Female,2623,0.2355000897827258
2017,Fatal,Female,751,0.1423696682464455
2018,Attempted,Female,2803,0.2510074326139518
2018,Fatal,Female,711,0.13720571208027788
2019,Attempted,Female,3177,0.26565766368425453
2019,Fatal,Female,756,0.143917761279269
2020,Attempted,Female,3216,0.2677322677322677
2020,Fatal,Female,778,0.1506584043377227
2021,Attempted,Female,4292,0.31108211930129737
2021,Fatal,Female,787,0.15134615384615385
